
=== Extracted from C:\Users\Suad\Documents\Projekte\AI_TendersAnalysis\tender_full_files_for_ai\2024-07 WienIT GmbH - RV IT-Consulting\Anhang+A+-+WSTW+IT+Capability+Map+2024.xlsx - Sheet: Tabelle1 ===
Leistungsbereich | Gruppe | Fähigkeit | Beschreibung
 |  | 
 | Zuverlässigkeit | 
 | Nichtvorliegen von Ausschlussgründen gemäß § 78 Abs 1 und Abs 2 BVergG 2018 (im klassi- | 
 | schen Bereich) bzw. § 249 Abs 1 und Abs 2 BVergG 2018 (im Sektorenbereich), insbesondere: | 
 |  | 
Z1 | Nichtvorliegen einer rechtskräftigen
Verurteilung
gemäß § 78 Abs 1 Z 1 und Abs 2 BVergG
2018 (im klassischen Bereich) bzw. § 249 Abs
1 BVergG 2018 (im Sektorenbereich), aus wel-
cher die berufliche Unzuverlässigkeit des Un-
ternehmers resultiert. | Strafregisterbescheinigung gemäß § 10 des
Strafregistergesetzes 1968, BGBl. Nr. 277/1968,
bzw. die Registerauskunft für Verbände gemäß §
89m des Gerichtsorganisationsgesetzes - GOG,
RGBl. Nr. 217/1896, oder eine gleichwertige Be-
scheinigung eines Gerichtes oder einer Verwal-
tungsbehörde des Sitzstaates des Unterneh-
mers.
Dies auch für sämtliche Personen, die Mitglied im
Verwaltungs-, Leitungs- oder Aufsichtsorgan des
Unternehmers sind oder die darin Vertretungs-,
Entscheidungs- oder Kontrollbefugnisse haben,
sowie Personen mit Prokura aller Art.
Z2 | Keine Eröffnung eines Insolvenzverfahrens
über das Vermögen des Unternehmens
und
kein Unterbleiben der Eröffnung eines In-
solvenzverfahrens mangels kostendecken-
den Vermögens. | Auszug aus der Insolvenzdatei gemäß § 256 der
Insolvenzordnung – IO, RGBl. Nr. 337/1914, oder
gleichwertige Dokumente der zuständigen Behör-
den des Sitzstaates des Unternehmers.
Z3 | Keine Liquidation des Unternehmens und
keine Einstellung der gewerblichen Tätig-
keit des Unternehmens. | Firmenbuchauszug gemäß § 33 des Firmenbuch-
gesetzes, BGBl. Nr. 10/1991, und die Auskunft
aus dem Gewerbeinformationssystem Austria
(GISA) gemäß § 365e Abs. 1 der Gewerbeord-
nung 1994 – GewO 1994, BGBl. Nr. 194/1994,
oder gleichwertige Dokumente der zuständigen
Behörden des Sitzstaates des Unternehmers
Z4 | Erfüllung der Verpflichtungen
zur Entrichtung der
- Sozialversicherungsbeiträge
- Steuern und Abgaben
in Österreich oder nach den Vorschriften des
Landes, in dem das Unternehmen seinen Sitz
hat. | Letztgültige Kontobestätigung bzw. Unbedenk-
lichkeitsbescheinigung des zuständigen Sozial-
versicherungsträgers
und
die letztgültige Rückstandsbescheinigung gemäß
§ 229a der Bundesabgabenordnung – BAO,
BGBl. Nr. 194/1961, oder gleichwertige Doku-
mente der zuständigen Behörden des Sitzstaates
des Unternehmers

[OCR from Image 1]
25 WIEN IT

WIENER STADTWERKE GRUPPE


=== Page 5 ===

[Text]
 
Anhang E1 - Eignungskriterien 
IT CONSULTING 
 
Seite 5 von 8 
 
3. Erläuterungen zu Eignungskriterien / Eignungsnachweisen 
 
3.1. Befugnis 
 
Es gelten die Ausführungen im Formular Teilnahmeantrag (Anhang T1) sowie die Bestimmungen der All-
gemeine Eignungsanforderungen der WIENER STADTWERKE bei Vergaben gemäß BVergG 2018 idgF 
(WSTW 9310, Teil 1, Ausgabe 12.09.2018 gemäß Festlegung im Teilnahmeantrag). 
 
Bewerber aus anderen EU-Mitgliedstaaten (bzw. EWR-Vertragsstaaten), die in einem anderen EU-Mit-
gliedstaat (bzw. EWR-Vertragsstaat) niedergelassen sind und die jeweilige Tätigkeit dort befugt ausüben, 
haben die Aufnahme der Tätigkeit in Österreich gemäß § 373a Abs 4 GewO idgF beim Bundesministerium 
für Arbeit und Wirtschaft ("BMAW") anzuzeigen. Es sind jedoch nur jene Tätigkeiten anzuzeigen, die ein 
Gewerbe gemäß § 94 GewO oder Tätigkeiten, die diesen Gewerben zuzuordnen sind, zum Gegenstand 
haben. Diese Tätigkeiten müssen spätestens bis zum Ablauf der Teilnahmefrist beim BMAW angezeigt 
werden. Der Bewerber hat die fristgerechte Anzeige beim BMAW in seinem Teilnahmeantrag nachzuwei-
sen. 
 
Bewerber aus Drittstaaten (das sind Staaten, die nicht Mitglied der EU oder des EWR sind) sind verpflichtet, 
nach Maßgabe der Vorschriften ihres Herkunftslandes eine Urkunde der zuständigen Organisation beizu-
bringen, aus der hervorgeht, dass sie zur Ausübung der ausschreibungsgegenständlichen Leistungen im 
Herkunftsland berechtigt sind. Zudem ist ein Nachweis darüber zu erbringen, dass die ausschreibungsge-
genständlichen Leistungen berechtigtermaßen auch in Österreich erbracht werden dürfen. 
 
Für Schweizer Bewerber gilt das oben zu den Bietern aus anderen EU / EWR-Mitgliedstaaten Gesagte mit 
der Maßgabe, dass von ihnen gemäß § 373b GewO Dienstleistungen in Österreich erbracht werden dürfen, 
deren tatsächliche Dauer 90 Arbeitstage pro Kalenderjahr nicht überschreitet. 
 
Der Nachweis der Befugnis eines Subunternehmers ist – selbst für den Fall, dass der Bewerber den Sub-
unternehmer für den Nachweis seiner Eignung nicht benötigt - für jeglichen Leistungsteil, den der Subun-
ternehmer ausführen soll, durch den Bewerber zu erbringen. 
 
Dieser Verweis auf die Befugnis eines Subunternehmers ersetzt für jenen Leistungsteil, den der Subunter-
nehmer ausführen soll, den Nachweis der Befugnis des Bewerbers. 
 
3.2. Berufliche Zuverlässigkeit 
 
Es gelten die Ausführungen im Formular Teilnahmeantrag (Anhang T1) sowie die Bestimmungen der All-
gemeine Eignungsanforderungen der WIENER STADTWERKE bei Vergaben gemäß BVergG 2018 idgF 
(WSTW 9310, Teil 1, Ausgabe 12.09.2018 gemäß Festlegung im Teilnahmeantrag). 
 
Zudem ist es gemäß VO (EU) 2022/576 seit 09.04.2022 untersagt, den Zuschlag in laufenden Vergabe-
verfahren an Personen, Organisationen oder Einrichtungen aus der Russischen Föderation zu erteilen. 
Dasselbe gilt für den Fall, dass deren Subunternehmer / sonstige Dritten / Lieferanten einen Russlandbe-
zug haben und gemessen am Auftragswert zu über 10 % am konkreten Auftrag beteiligt sind (Zuschlags-
verbot).  
 
Als Personen, Organisationen oder Einrichtungen aus der Russischen Föderation gelten 
 
 
russische Staatsangehörige oder in Russland niedergelassene natürliche oder juristische Perso-
nen, Organisationen oder Einrichtungen; 


[OCR from Image 1]
25 WIEN IT

WIENER STADTWERKE GRUPPE


=== Page 6 ===

[Text]
 
Anhang E1 - Eignungskriterien 
IT CONSULTING 
 
Seite 6 von 8 
 
 
juristische Personen, Organisationen oder Einrichtungen, deren Anteile zu über 50 % unmittelbar 
oder mittelbar von einer unter dem ersten Punkt genannten Organisationen gehalten werden; 
oder 
 
natürliche oder juristische Personen, Organisationen oder Einrichtungen, die im Namen oder auf 
Anweisung einer der unter dem ersten oder zweiten Punkt genannten Organisationen handeln. 
 
Der Bewerber hat mit dem Teilnahmeantrag das Nichtbestehen eines Russland-Bezugs für sich und für 
seine Subunternehmer / sonstige Dritte / Lieferanten gemäß dem beigeschlossenen Anhang T5 vorläufig 
nachzuweisen. Auf Aufforderung des AG hat der Bewerber binnen einer vom AG festgelegten (kurzen) 
Frist zusätzliche Nachweise beizubringen. 
 
3.3. Wirtschaftliche Leistungsfähigkeit 
 
Der Bewerber muss für die Erbringung der ausgeschriebenen Leistungen über die erforderliche finanzielle 
und wirtschaftliche Leistungsfähigkeit verfügen.  
 
Der Nachweis für die finanzielle und wirtschaftliche Leistungsfähigkeit ist erbracht, wenn der Bewerber die 
nachfolgenden Kriterien (Kriterium "Betriebshaftpflichtversicherung", Kriterium "Bonität" und Kriterium "Um-
satzerlöse") vollständig erfüllt. 
 
Sämtliche Nachweise dürfen nicht älter als 6 Monate (zurückgerechnet ab Ende der Teilnahmefrist) sein. 
Bitte beachten Sie, dass bei der Ermittlung der Fristen nicht das Datum des Ausdrucks der Unter-
lagen oder das Datum des letzten Auszugs relevant ist, sondern das Datum der entsprechenden 
Bewertung herangezogen wird. 
 
3.3.1. Kriterium Betriebshaftpflichtversicherung 
Der Bewerber hat über eine aufrechte branchenübliche Betriebshaftpflichtversicherung mit einer Versiche-
rungssumme bzw. einem Deckungsumfang von zumindest EUR 5.000.000 zu verfügen. Die Betriebshaft-
pflichtversicherung hat jedenfalls Sach- und Personenschäden abzudecken.  
 
Der Nachweis ist durch Vorlage einer Kopie der Haftpflichtversicherungspolizze oder der Deckungsbestä-
tigung zu erbringen. Besteht beim Bewerber noch keine solche Haftpflichtversicherung, ist der Bewerber 
verpflichtet, eine Kopie einer entsprechenden Deckungszusage oder einer unwiderruflichen Verpflichtungs-
erklärung eines Versicherers vorzulegen, aus welcher eindeutig zu entnehmen ist, dass der Versicherer – 
im Falle des Abschlusses des ausschreibungsgegenständlichen Vertrags mit dem Bewerber – binnen zwei 
Wochen ab Abschluss des ausschreibungsgegenständlichen Vertrags mit dem Bewerber eine solche Haft-
pflichtversicherung abschließen wird. Der Bewerber verpflichtet sich, im Auftragsfall den Versicherungs-
schutz bis zum Ende der Laufzeit des Vertrags aufrecht zu erhalten (inkl. Prämienzahlungspflicht) und auf 
Aufforderung des AG jederzeit entsprechend nachzuweisen. 
 
3.3.2. Kriterium Bonität  
Der Bewerber muss nachweisen, dass er (spätestens zum Zeitpunkt des Endes der Teilnahmefrist) über 
eine gute Bonität verfügt. Eine gute Bonität liegt vor, wenn die Ausfallswahrscheinlichkeit des Bewerbers 
nach dem Rating der KSV1870 Information GmbH (kurz „KSV“) als „gering“ (Rating von 399 oder weni-
ger) beurteilt wird. Die Ratingbewertung kann auch für nicht österreichische Betriebe beim KSV 1870, 
Wagenseilgasse 7, 1120 Wien ausgestellt werden. Besteht kein Rating der KSV, hat der Bewerber nach-
zuweisen, dass seine Ausfallswahrscheinlichkeit durch eine andere anerkannte Wirtschafsauskunftei als 


[OCR from Image 1]
25 WIEN IT

WIENER STADTWERKE GRUPPE


=== Page 7 ===

[Text]
 
Anhang E1 - Eignungskriterien 
IT CONSULTING 
 
Seite 7 von 8 
 
im „Investment Grade“-Bereich liegend beurteilt wird. Dies entspricht bei Moodys einem Rating von Baa3 
oder besser bzw. bei Standard & Poor’s und Fitch einem Rating von BBB- oder besser. 
 
3.3.3. Kriterium Umsatzerlöse 
Der Bewerber hat einen jährlichen Umsatz in den letzten 3 abgeschlossenen Geschäftsjahren (2023, 2022, 
2021) von jeweils mindestens EUR 15.000.000,-- (exkl. USt) in der Sparte Beratung nachzuweisen. Falls 
die Umsätze aus Beratungsdienstleistungen nicht direkt aus der Bilanz bzw. GuV ersichtlich sind (da 
auch Umsätze aus anderen Leistungen daraus enthalten sind), ist über diese eine Bestätigung des Steu-
erberaters oder Wirtschaftstreuhänders einzureichen, aus der eindeutig der Umsatz in der Sparte Bera-
tung abzulesen ist. 
 
Sofern ein Unternehmen eines Bieters weniger als drei Jahre besteht, gilt pro Jahr das 12-Fache des 
durchschnittlichen Monatsumsatzes seit Bestand des Unternehmens. Zum Nachweis hat der Bewerber 
eine formelle Erklärung eines Steuerberaters oder Wirtschaftstreuhänders (bzw. den Jahresabschluss auf 
Verlangen des AG) vorzulegen – aus der eindeutig der Umsatz in der Sparte Beratung abzulesen ist. 
 
  


[OCR from Image 1]
25 WIEN IT

WIENER STADTWERKE GRUPPE


=== Page 8 ===

[Text]
 
Anhang E1 - Eignungskriterien 
IT CONSULTING 
 
Seite 8 von 8 
 
4. Technische Leistungsfähigkeit 
 
Die Beschreibung der Eignungskriterien der technischen Leistungsfähigkeit ist unter den nachstehenden 
Ziffern T1-T2 zu finden. Die Erfüllung aller geforderten Kriterien muss eindeutig erkennbar beschrieben 
sein. Der Nachweis für die technische Leistungsfähigkeit ist erbracht, wenn der Bewerber die geforderten 
Kriterien vollständig erfüllt. Ist das nicht der Fall, wird das Formblatt nicht anerkannt. Stützt sich der Bewer-
ber zum Nachweis der technischen Leistungsfähigkeit auf die Kapazitäten von Subunternehmern oder an-
deren Dritten, hat er mit seinem Teilnahmeantrag das vorzulegen. 
 
 
Technische Leistungsfähigkeit 
T1 
Personalressourcen 
 
Die erforderliche Mindestanzahl an Beratern je 
Rolle, die zum Nachweis der Technischen Leis-
tungsfähigkeit notwendig ist, entnehmen Sie 
dem Formblatt E3. Dies ist die Mindestanfor-
derung.  
 
Ebendort ist auch die Gesamtzahl aller Mitar-
beiter des Bieterunternehmens einzutragen, 
die den jeweiligen Rollen entsprechen, und 
bei Abschluss der Rahmenvereinbarung beim 
Auftraggeber eingesetzt werden könnten. 
 
Die Anforderungen an die einzelnen Rollen sind 
bei den einzelnen Leistungs- und Rollenbe-
schreibungen im Leistungsverzeichnis (Anhang 
L1) angegeben. Neben den rollenspezifischen 
Anforderungen wird die Kenntnis der deutschen 
Sprache in Wort und Schrift vorausgesetzt. 
 
Nachweis durch Ausfüllen von: 
 
Formblatt E3 – Technische Leistungsfä-
higkeit 
 
T2 
Projektreferenzen – Teil 1 (1. Stufe) 
 
In dieser Stufe sind genau zwei (2) Projektrefe-
renzen über abgeschlossene Referenzprojekte 
des Bieters aus den letzten 36 Kalendermona-
ten (zurückgerechnet ab Ende der Teilnahme-
frist) abzugeben, die einen der  fünf Themenbe-
reiche gem. Anhang L1-Leistungsverzeichnis 
bzw. Formblatt E3 abdecken müssen (Mindest-
anforderung). 
 
Die genauen Anforderungen an die einzelnen 
Projektreferenzen sind den Formblättern E3-
E5 zu entnehmen. 
Nachweis durch Ausfüllen von: 
 
Formblatt E3 – Technische Leistungsfä-
higkeit 
 
Formblätter E4-E5 Projektreferenzen 
 


=== Tables from Page 8 ===

[Table 1]
 |  | 
 | Technische Leistungsfähigkeit | 
 |  | 
T1 | Personalressourcen | Nachweis durch Ausfüllen von:

Formblatt E3 – Technische Leistungsfä-
higkeit
 |  | 
 | Die erforderliche Mindestanzahl an Beratern je | 
 | Rolle, die zum Nachweis der Technischen Leis- | 
 | tungsfähigkeit notwendig ist, entnehmen Sie | 
 | dem Formblatt E3. Dies ist die Mindestanfor- | 
 | derung. | 
 |  | 
 | Ebendort ist auch die Gesamtzahl aller Mitar- | 
 | beiter des Bieterunternehmens einzutragen, | 
 | die den jeweiligen Rollen entsprechen, und | 
 | bei Abschluss der Rahmenvereinbarung beim | 
 | Auftraggeber eingesetzt werden könnten. | 
 |  | 
 | Die Anforderungen an die einzelnen Rollen sind | 
 | bei den einzelnen Leistungs- und Rollenbe- | 
 | schreibungen im Leistungsverzeichnis (Anhang | 
 | L1) angegeben. Neben den rollenspezifischen | 
 | Anforderungen wird die Kenntnis der deutschen | 
 | Sprache in Wort und Schrift vorausgesetzt. | 
 |  | 
T2 | Projektreferenzen – Teil 1 (1. Stufe) | Nachweis durch Ausfüllen von:

Formblatt E3 – Technische Leistungsfä-
higkeit

Formblätter E4-E5 Projektreferenzen
 |  | 
 | In dieser Stufe sind genau zwei (2) Projektrefe- | 
 | renzen über abgeschlossene Referenzprojekte | 
 | des Bieters aus den letzten 36 Kalendermona- | 
 | ten (zurückgerechnet ab Ende der Teilnahme- | 
 | frist) abzugeben, die einen der fünf Themenbe- | 
 | reiche gem. Anhang L1-Leistungsverzeichnis | 
 | bzw. Formblatt E3 abdecken müssen (Mindest- | 
 | anforderung). | 
 |  | 
 | Die genauen Anforderungen an die einzelnen | 
 | Projektreferenzen sind den Formblättern E3- | 
 | E5 zu entnehmen. | 

[OCR from Image 1]
25 WIEN IT

WIENER STADTWERKE GRUPPE


=== Extracted from C:\Users\Suad\Documents\Projekte\AI_TendersAnalysis\tender_full_files_for_ai\2024-07 WienIT GmbH - RV IT-Consulting\Anhang+L1+-+Leistungsverzeichnis.pdf ===

=== Page 1 ===

[Text]
 
 
 
WienIT GmbH │ Thomas-Klestil-Platz 13 │ 1030 Wien │ t: +43 5 90405 0 │wienit.at 
FN 255649 f │ HG Wien │ DVR: 2109667 │ UID-Nr.: ATU61296118  
UniCredit Bank Austria AG │ IBAN: AT64 1200 0514 2844 2601 │ BIC: BKAUATWW 
ANHANG L1 - 
 
LEISTUNGSVERZEICHNIS 
 
  
RAHMENVEREINBARUNG 
IT CONSULTING 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Kennwort: WienIT 5310000762 
Datum: 19.07.2024 
Version 1.0  
 
 
 
 


[OCR from Image 1]
2 WIEN IT

WIENER STADTWERKE GRUPPE


=== Page 2 ===

[Text]
Anhang L1 - Leistungsverzeichnis 
IT CONSULTING 
 
 
 
INHALT 
1. 
VORBEMERKUNG 
3 
1.1. 
ABKÜRZUNGSVERZEICHNIS 
3 
2. 
AUSSCHREIBUNGSZIEL- UND GEGENSTAND 
3 
2.1. 
ZIEL DER AUSSCHREIBUNG 
3 
2.2. 
GEGENSTAND DER AUSSCHREIBUNG 
3 
2.3. 
RAHMENBEDINGUNGEN DES AUSSCHREIBUNGSGEGENSTANDS 
